0 - 4技,,,
5 - 9技,,,
10 - 14技,,,
15 - 19技,,,
20 - 24技,,119,0.369565217
25 - 29技,,190,0.590062112
30 - 34技,,243,0.754658385
35 - 39技,,284,0.881987578
40 - 44技,,312,0.968944099
45 - 49技,,322,1
50 - 54技,,290,0.900621118
55 - 59技,,273,0.847826087
60 - 64技,,178,0.552795031
65 - 69技,,,
70 - 74技,,,
75 - 79技,,,
80 - 84技,,,
85 - 89技,,,
90 - 94技,,,
95 - 99技,,,
100技 捞惑,,,
