"4,590,812","4,729,444","4,824,275","4,855,180","4,797,702","4,710,919","4,662,734","4,621,997","4,581,311","4,562,049","4,548,177","4,619,581","4,675,505","4,695,313","4,689,282","4,541,059","4,380,101","4,222,842","4,107,110","4,025,181","4,033,727","4,075,892","4,112,359","4,119,715","4,013,144","3,845,533","3,664,739","3,469,862","3,330,753","3,277,842","3,203,203","3,238,866","3,316,174","3,403,133","3,483,283","3,545,704","3,559,073","3,524,075","3,452,808","3,349,173","3,259,783","3,153,947","3,012,197","2,861,217","2,716,762","2,544,812","2,382,249","2,309,066","2,308,228","2,281,871","2,281,552","2,324,805","2,320,899","2,288,905","2,290,591","2,296,916","2,267,613","2,267,185","2,264,967","2,261,915","2,259,138","2,254,525","2,248,140","2,242,852","2,238,477","2,234,269","2,224,965","2,209,265","2,189,951","2,165,750","2,135,698","2,103,360","2,068,657","2,027,914","1,982,188","1,933,118","1,882,686","1,832,886","1,785,533","1,742,137","1,703,665","1,670,503","1,642,579","1,619,529","1,600,735","1,585,486","1,573,126","1,563,051","1,554,714","1,547,654","1,541,480","1,535,842","1,530,461","1,525,072","1,519,393","1,513,153","1,506,088","1,497,896","1,488,275","1,477,013","1,463,949"
"3,350,533","3,600,742","3,829,857","4,100,606","4,358,095","4,550,019","4,686,035","4,783,612","4,812,868","4,745,919","4,629,882","4,524,871","4,457,446","4,413,524","4,422,587","4,478,159","4,540,577","4,611,679","4,626,835","4,584,686","4,458,426","4,316,638","4,168,352","4,056,805","3,990,530","3,967,667","4,017,250","4,083,227","4,109,267","4,021,803","3,843,481","3,644,652","3,440,905","3,281,101","3,191,664","3,166,753","3,188,482","3,269,997","3,367,330","3,459,152","3,521,464","3,532,434","3,492,692","3,413,891","3,319,000","3,233,543","3,130,311","2,979,490","2,815,741","2,667,364","2,495,540","2,338,746","2,284,516","2,293,076","2,266,044","2,266,859","2,312,382","2,308,235","2,276,134","2,277,541","2,283,561","2,254,207","2,253,561","2,251,144","2,247,902","2,244,944","2,240,172","2,233,651","2,228,229","2,223,718","2,219,377","2,209,982","2,194,237","2,174,907","2,150,733","2,120,759","2,088,519","2,053,936","2,013,369","1,967,857","1,919,037","1,868,871","1,819,340","1,772,247","1,729,089","1,690,826","1,657,836","1,630,052","1,607,107","1,588,391","1,573,192","1,560,862","1,550,801","1,542,467","1,535,399","1,529,212","1,523,563","1,518,165","1,512,763","1,507,073","1,500,833"
"2,646,238","2,734,833","2,818,491","2,894,588","3,059,841","3,316,802","3,567,290","3,793,884","4,065,204","4,330,264","4,531,308","4,619,637","4,725,521","4,740,548","4,678,202","4,595,185","4,514,152","4,438,586","4,382,084","4,395,448","4,458,622","4,532,506","4,605,889","4,624,448","4,588,086","4,491,342","4,347,844","4,193,288","4,047,425","3,961,486","3,926,908","3,975,202","4,034,347","4,050,294","3,978,499","3,824,371","3,655,722","3,439,030","3,271,379","3,164,569","3,129,982","3,167,355","3,242,433","3,330,682","3,410,172","3,462,832","3,476,266","3,436,051","3,364,760","3,282,830","3,198,282","3,107,361","2,953,648","2,788,137","2,642,349","2,475,819","2,319,133","2,264,843","2,272,860","2,245,446","2,245,733","2,290,484","2,285,937","2,253,640","2,254,624","2,260,246","2,230,786","2,229,786","2,227,049","2,223,499","2,220,255","2,215,229","2,208,479","2,202,826","2,198,082","2,193,514","2,183,952","2,168,125","2,148,781","2,124,667","2,094,826","2,062,748","2,028,371","1,988,101","1,942,960","1,894,573","1,844,872","1,795,811","1,749,170","1,706,425","1,668,525","1,635,835","1,608,287","1,585,521","1,566,933","1,551,819","1,539,538","1,529,499","1,521,166","1,514,086","1,507,874"
"2,418,444","2,385,695","2,406,634","2,480,480","2,538,928","2,608,078","2,697,527","2,782,684","2,858,382","3,016,634","3,269,356","3,499,916","3,723,447","3,960,106","4,174,551","4,334,269","4,455,008","4,546,786","4,604,018","4,587,525","4,519,689","4,411,934","4,331,102","4,304,820","4,339,154","4,407,777","4,481,930","4,549,972","4,581,350","4,550,521","4,442,014","4,297,041","4,138,758","3,996,579","3,909,674","3,896,948","3,953,516","4,031,766","4,060,624","3,999,155","3,842,432","3,615,162","3,402,998","3,246,275","3,157,487","3,136,467","3,157,145","3,232,058","3,326,887","3,413,699","3,467,179","3,468,479","3,423,691","3,350,420","3,264,482","3,175,320","3,082,273","2,929,041","2,764,367","2,619,495","2,453,985","2,297,955","2,243,680","2,251,228","2,223,343","2,223,106","2,267,190","2,262,362","2,229,780","2,230,353","2,235,732","2,206,089","2,204,748","2,201,684","2,197,820","2,194,296","2,189,015","2,182,022","2,176,118","2,171,123","2,166,305","2,156,564","2,140,662","2,121,313","2,097,259","2,067,538","2,035,614","2,001,462","1,961,508","1,916,758","1,868,817","1,819,590","1,771,009","1,724,819","1,682,477","1,644,922","1,612,508","1,585,170","1,562,557","1,544,069","1,529,010"
"2,322,705","2,364,469","2,396,924","2,391,964","2,391,559","2,375,793","2,345,065","2,367,660","2,442,257","2,502,316","2,569,044","2,640,975","2,729,488","2,780,387","2,874,517","3,074,414","3,336,525","3,544,548","3,743,774","3,936,519","4,093,407","4,264,325","4,370,369","4,393,485","4,347,506","4,274,337","4,245,645","4,207,912","4,177,568","4,208,326","4,342,407","4,429,021","4,504,498","4,531,297","4,491,139","4,391,626","4,247,453","4,077,566","3,938,084","3,853,441","3,854,382","3,931,993","3,994,175","4,007,272","3,915,209","3,742,647","3,576,063","3,402,271","3,273,628","3,216,290","3,209,527","3,274,808","3,345,246","3,424,433","3,489,975","3,525,734","3,521,424","3,476,612","3,402,688","3,315,693","3,225,253","3,130,924","2,976,339","2,809,720","2,662,279","2,493,719","2,334,945","2,279,406","2,286,331","2,258,322","2,258,648","2,303,271","2,298,453","2,265,511","2,266,463","2,271,871","2,241,733","2,240,407","2,237,342","2,233,492","2,229,971","2,224,650","2,217,574","2,211,601","2,206,558","2,201,709","2,191,934","2,175,912","2,156,319","2,131,899","2,101,723","2,069,365","2,034,744","1,994,216","1,948,793","1,900,105","1,850,090","1,800,706","1,753,735","1,710,666","1,672,453"
"1,933,080","2,028,591","2,117,003","2,198,636","2,248,720","2,278,869","2,318,981","2,352,602","2,349,726","2,350,851","2,335,969","2,297,759","2,309,954","2,378,425","2,458,215","2,535,266","2,588,407","2,647,963","2,727,306","2,862,241","3,072,797","3,299,851","3,499,449","3,713,565","3,917,373","4,097,891","4,206,166","4,291,592","4,346,783","4,342,301","4,326,749","4,264,005","4,216,818","4,203,646","4,237,069","4,300,710","4,344,493","4,424,219","4,441,047","4,418,353","4,352,913","4,214,919","4,050,359","3,929,667","3,855,332","3,844,022","3,907,118","3,970,843","3,993,665","3,930,458","3,791,971","3,641,329","3,473,754","3,349,972","3,284,644","3,279,000","3,322,211","3,393,911","3,474,333","3,540,684","3,576,589","3,571,824","3,526,063","3,450,794","3,362,264","3,270,273","3,174,379","3,017,321","2,847,959","2,698,078","2,527,197","2,366,392","2,309,967","2,317,012","2,288,719","2,288,816","2,333,606","2,328,612","2,295,241","2,295,847","2,301,138","2,270,547","2,269,057","2,265,812","2,261,773","2,258,041","2,252,504","2,245,205","2,239,033","2,233,799","2,228,762","2,218,722","2,202,355","2,182,364","2,157,518","2,126,868","2,093,997","2,058,828","2,017,690","1,971,607","1,922,234"
"1,556,328","1,609,631","1,668,138","1,737,520","1,809,800","1,897,676","1,994,345","2,080,356","2,157,800","2,206,952","2,237,747","2,268,991","2,306,035","2,296,469","2,277,514","2,245,682","2,236,634","2,278,218","2,355,958","2,446,500","2,525,214","2,595,896","2,682,293","2,787,668","2,937,236","3,089,272","3,344,633","3,529,362","3,756,309","3,966,001","4,134,702","4,259,036","4,345,014","4,376,728","4,353,044","4,296,721","4,257,500","4,212,189","4,162,297","4,181,625","4,247,992","4,325,405","4,401,539","4,436,071","4,407,015","4,301,047","4,171,690","4,030,396","3,914,589","3,847,527","3,866,366","3,945,133","4,003,589","4,015,974","3,949,186","3,807,021","3,627,952","3,461,129","3,338,042","3,273,265","3,268,009","3,311,354","3,382,867","3,462,742","3,528,346","3,563,535","3,558,242","3,512,189","3,436,852","3,348,472","3,256,807","3,161,216","3,004,003","2,834,780","2,685,694","2,515,709","2,356,036","2,300,303","2,307,862","2,279,602","2,279,346","2,324,084","2,318,917","2,285,752","2,286,212","2,291,331","2,261,022","2,259,524","2,256,263","2,252,195","2,248,426","2,242,874","2,235,589","2,229,430","2,224,198","2,219,161","2,209,083","2,192,670","2,172,699","2,147,921","2,117,372"
"1,370,125","1,378,285","1,393,159","1,411,114","1,461,341","1,503,227","1,558,304","1,624,748","1,702,174","1,777,460","1,866,982","1,948,564","2,029,069","2,108,309","2,166,022","2,209,126","2,251,043","2,293,446","2,310,640","2,300,125","2,279,565","2,269,264","2,298,095","2,369,242","2,462,888","2,552,192","2,564,329","2,647,684","2,703,254","2,805,972","3,042,329","3,273,671","3,489,073","3,712,065","3,924,912","4,092,051","4,204,082","4,312,799","4,357,948","4,324,945","4,273,079","4,233,183","4,187,313","4,164,548","4,189,412","4,233,364","4,311,745","4,377,819","4,412,996","4,364,642","4,261,935","4,144,145","4,006,932","3,886,993","3,829,465","3,846,466","3,906,120","3,963,200","3,974,859","3,908,259","3,767,155","3,589,618","3,424,257","3,302,184","3,237,874","3,232,498","3,275,226","3,345,821","3,424,723","3,489,571","3,524,378","3,519,157","3,473,648","3,399,163","3,311,803","3,221,177","3,126,657","2,971,215","2,803,916","2,656,511","2,488,393","2,330,410","2,275,270","2,282,726","2,254,736","2,254,517","2,298,814","2,293,731","2,260,911","2,261,403","2,266,525","2,236,526","2,235,056","2,231,840","2,227,831","2,224,122","2,218,653","2,211,455","2,205,380","2,200,215","2,195,240"
"1,125,034","1,153,393","1,192,402","1,245,123","1,285,534","1,318,905","1,328,372","1,345,172","1,366,081","1,420,672","1,467,129","1,518,568","1,575,198","1,642,717","1,720,007","1,820,221","1,913,806","1,995,036","2,069,345","2,132,768","2,178,570","2,226,462","2,274,207","2,289,040","2,276,724","2,262,901","2,259,794","2,282,293","2,337,657","2,419,171","2,477,748","2,545,795","2,608,361","2,676,856","2,796,727","2,995,391","3,217,477","3,405,223","3,625,438","3,860,167","4,020,438","4,151,889","4,264,208","4,317,062","4,302,971","4,248,386","4,202,195","4,155,407","4,156,479","4,185,069","4,240,445","4,307,333","4,365,418","4,383,208","4,337,823","4,239,971","4,113,393","3,976,792","3,857,489","3,800,155","3,816,794","3,875,877","3,932,559","3,944,260","3,878,390","3,738,518","3,562,387","3,398,278","3,277,144","3,213,347","3,208,039","3,250,475","3,320,622","3,399,022","3,463,611","3,498,461","3,493,573","3,448,672","3,375,019","3,288,562","3,198,800","3,105,135","2,951,073","2,785,187","2,638,908","2,472,034","2,315,077","2,260,311","2,267,722","2,239,992","2,239,940","2,284,053","2,279,143","2,246,554","2,247,149","2,252,382","2,222,596","2,221,206","2,218,101","2,214,195","2,210,588"
"979,930","1,001,234","1,018,295","1,028,448","1,042,490","1,067,093","1,098,163","1,139,852","1,197,933","1,239,082","1,271,554","1,288,932","1,295,548","1,314,772","1,352,755","1,398,399","1,448,885","1,512,900","1,583,123","1,659,875","1,756,088","1,851,271","1,928,379","2,001,786","2,066,471","2,119,340","2,166,942","2,211,518","2,230,327","2,219,245","2,166,709","2,155,466","2,180,285","2,246,633","2,335,451","2,418,904","2,478,292","2,553,587","2,613,214","2,716,095","2,921,443","3,158,891","3,354,027","3,576,907","3,794,120","3,960,378","4,100,432","4,204,775","4,276,348","4,286,478","4,266,781","4,225,324","4,166,688","4,148,349","4,176,603","4,225,823","4,286,586","4,344,621","4,362,679","4,317,940","4,221,025","4,095,577","3,960,135","3,841,772","3,785,145","3,802,153","3,861,485","3,918,513","3,930,846","3,865,859","3,726,926","3,551,693","3,388,415","3,267,881","3,204,526","3,199,469","3,242,038","3,312,271","3,390,809","3,455,670","3,490,939","3,486,587","3,442,275","3,369,242","3,283,342","3,194,118","3,100,962","2,947,556","2,782,279","2,636,459","2,470,003","2,313,271","2,258,666","2,266,160","2,238,607","2,238,799","2,283,076","2,278,362","2,245,893","2,246,669","2,252,080"
