4590812 ,3350533 ,2646238 ,2418444 ,2322705 ,1933080 ,1556328 ,1370125 ,1125034 ,979930 ,845256 ,628974 ,518465 ,345675 ,210394 ,111199 ,,,,,
4729444 ,3600742 ,2734833 ,2385695 ,2364469 ,2028591 ,1609631 ,1378285 ,1153393 ,1001234 ,862029 ,630604 ,535842 ,344564 ,224438 ,116485 ,,,,,
4824275 ,3829857 ,2818491 ,2406634 ,2396924 ,2117003 ,1668138 ,1393159 ,1192402 ,1018295 ,886427 ,640591 ,538118 ,360707 ,227011 ,126531 ,,,,,
4855180 ,4100606 ,2894588 ,2480480 ,2391964 ,2198636 ,1737520 ,1411114 ,1245123 ,1028448 ,899002 ,677339 ,525579 ,386169 ,223091 ,134787 ,,,,,
4797702 ,4358095 ,3059841 ,2538928 ,2391559 ,2248720 ,1809800 ,1461341 ,1285534 ,1042490 ,897329 ,726011 ,521670 ,390534 ,235616 ,143397 ,,,,,
4710919 ,4550019 ,3316802 ,2608078 ,2375793 ,2278869 ,1897676 ,1503227 ,1318905 ,1067093 ,909012 ,756811 ,530387 ,403947 ,245292 ,151950 ,,,,,
4662734 ,4686035 ,3567290 ,2697527 ,2345065 ,2318981 ,1994345 ,1558304 ,1328372 ,1098163 ,933841 ,778738 ,539542 ,425836 ,260200 ,157264 ,,,,,
4621997 ,4783612 ,3793884 ,2782684 ,2367660 ,2352602 ,2080356 ,1624748 ,1345172 ,1139852 ,955066 ,802670 ,552756 ,434477 ,257088 ,150598 ,,,,,
4581311 ,4812868 ,4065204 ,2858382 ,2442257 ,2349726 ,2157800 ,1702174 ,1366081 ,1197933 ,964239 ,821228 ,586162 ,428329 ,268120 ,145121 ,,,,,
4562049 ,4745919 ,4330264 ,3016634 ,2502316 ,2350851 ,2206952 ,1777460 ,1420672 ,1239082 ,978427 ,830540 ,634557 ,428822 ,278900 ,145016 ,,,,,
4548177 ,4629882 ,4531308 ,3269356 ,2569044 ,2335969 ,2237747 ,1866982 ,1467129 ,1271554 ,1017150 ,846448 ,658773 ,428725 ,311808 ,149850 ,,,,,
4619581 ,4524871 ,4619637 ,3499916 ,2640975 ,2297759 ,2268991 ,1948564 ,1518568 ,1288932 ,1041058 ,874484 ,684845 ,467031 ,321793 ,162497 ,,,,,
4675505 ,4457446 ,4725521 ,3723447 ,2729488 ,2309954 ,2306035 ,2029069 ,1575198 ,1295548 ,1071643 ,872562 ,689332 ,455436 ,318364 ,164326 ,,,,,
4695313 ,4413524 ,4740548 ,3960106 ,2780387 ,2378425 ,2296469 ,2108309 ,1642717 ,1314772 ,1122447 ,874616 ,698262 ,476567 ,316993 ,172242 ,,,,,
4689282 ,4422587 ,4678202 ,4174551 ,2874517 ,2458215 ,2277514 ,2166022 ,1720007 ,1352755 ,1169097 ,890487 ,698520 ,511455 ,310619 ,181623 ,,,,,
4541059 ,4478159 ,4595185 ,4334269 ,3074414 ,2535266 ,2245682 ,2209126 ,1820221 ,1398399 ,1202947 ,919381 ,709170 ,538406 ,335061 ,205140 ,,,,,
4380101 ,4540577 ,4514152 ,4455008 ,3336525 ,2588407 ,2236634 ,2251043 ,1913806 ,1448885 ,1224803 ,951865 ,744604 ,557018 ,345540 ,215892 ,,,,,
